# T_Ca (kPa),pressure (mmHg)
0.000000000000000000e+00,1.000000000000000000e+01
4.178095401294056543e+00,2.278680758017492991e+01
7.663886757497958335e+00,3.349854227405247542e+01
1.062919933862025701e+01,4.244788629737608687e+01
1.321870393634863206e+01,4.994752186588921461e+01
1.556948745216361729e+01,5.631013119533526634e+01
1.782023332419041495e+01,6.184839650145772083e+01
2.011674206975566648e+01,6.687500000000000000e+01
2.258480164418376646e+01,7.158892128279882172e+01
2.524166177694407764e+01,7.573432944606415163e+01
2.815007651311092829e+01,7.894169096209911629e+01
3.162190256624564810e+01,8.084147230320699862e+01
3.627693658940590637e+01,8.106413994169096782e+01
4.401184424613891366e+01,7.924016034985422152e+01
5.962602066282134672e+01,7.500000000000000000e+01
5.962650248100315764e+01,7.500000000000000000e+01
5.589764961166467572e+01,6.212317784256560316e+01
5.266521405029088498e+01,5.117930029154518934e+01
4.981482866345623961e+01,4.191253644314868154e+01
4.722201259575141563e+01,3.406705539358600987e+01
4.476159954139817643e+01,2.738702623906706179e+01
4.231461611672069978e+01,2.161661807580174610e+01
3.976865481844051686e+01,1.650000000000000000e+01
3.679855987044281562e+01,1.187609329446064521e+01
3.233339798012268318e+01,7.962827988338196938e+00
2.569481336067490318e+01,5.072886297376095754e+00
1.760750174251653988e+01,3.518950437317785784e+00
9.914667263656875562e+00,3.613702623906705380e+00
4.170591624983258860e+00,5.669825072886293782e+00
0.000000000000000000e+00,1.000000000000000000e+01
