# T_Ca (kPa),pressure (mmHg)
1.271173637448954306e-02,3.500000000000000000e+01
5.469780412401902048e+00,5.073760932944606594e+01
9.881064572455041883e+00,6.392128279883382191e+01
1.361048450975531310e+01,7.493586005830901797e+01
1.688340679128543442e+01,8.416618075801748944e+01
1.988663328819655263e+01,9.199708454810493663e+01
2.277355186729454317e+01,9.881341107871718066e+01
2.572794912898378428e+01,1.050000000000000000e+02
2.884008231002083633e+01,1.108017492711370267e+02
3.204749015556586755e+01,1.159037900874635341e+02
3.527238101744951848e+01,1.198513119533527629e+02
3.853878846993842444e+01,1.221895043731778543e+02
4.218460224777005863e+01,1.224635568513119495e+02
4.771684118571386080e+01,1.202186588921282606e+02
5.997450668471431356e+01,1.150000000000000000e+02
5.997585048142580888e+01,1.150000000000000000e+02
5.520906564356482704e+01,9.915160349854228627e+01
5.105398031031104722e+01,8.568221574344023850e+01
4.743158100479497818e+01,7.427696793002914433e+01
4.420110599396146256e+01,6.462099125364433405e+01
4.122124324586782507e+01,5.639941690962098164e+01
3.835951184202814801e+01,4.929737609329446002e+01
3.549128491681313591e+01,4.300000000000000000e+01
3.232402930491173976e+01,3.730903790087463534e+01
2.797639612938353793e+01,3.249271137026239842e+01
2.219989234503868403e+01,2.893586005830903929e+01
1.585504113230857470e+01,2.702332361516035064e+01
1.034781852816387726e+01,2.713994169096209674e+01
5.913562904001841147e+00,2.967055393586005252e+01
1.271147717365069853e-02,3.500000000000000000e+01
